Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,151.470001,154.770004,150.800003,153.169998,153.055695,40473900
2022-11-22,153.279999,160.580002,151.220001,160.380005,160.260361,47286600
2022-11-23,160.979996,165.270004,160.479996,165.190002,165.066772,42724100
2022-11-25,163.179993,164.869995,161.720001,162.699997,162.578613,16793400
2022-11-28,160.259995,163.570007,157.250000,158.270004,158.151947,30374100
2022-11-29,158.270004,159.320007,155.199997,156.389999,156.273331,29838400
2022-11-30,156.970001,169.300003,155.970001,169.229996,169.147018,56529800
2022-12-01,169.990005,172.649994,166.350006,171.350006,171.265976,47097700
2022-12-02,166.589996,169.330002,164.449997,168.759995,168.677231,37138900
2022-12-05,166.789993,169.949997,164.720001,166.100006,166.018555,35225500
2022-12-06,165.300003,165.729996,158.190002,159.869995,159.791595,35269400
2022-12-07,157.720001,161.860001,156.669998,161.199997,161.120956,37238800
2022-12-08,162.729996,171.789993,159.589996,171.690002,171.605804,51545600
2022-12-09,171.600006,175.830002,169.750000,170.009995,169.926605,46533800
2022-12-12,170.369995,175.380005,167.970001,175.350006,175.264023,45732800
2022-12-13,185.309998,187.899994,177.110001,180.720001,180.631393,65658900
2022-12-14,179.869995,182.520004,174.199997,176.740005,176.653351,49688800
2022-12-15,171.460007,173.199997,167.000000,169.520004,169.436874,47854200
2022-12-16,168.639999,170.410004,164.100006,165.710007,165.628738,47823200
2022-12-19,165.720001,166.089996,161.449997,162.539993,162.460281,35403900
2022-12-20,160.639999,163.100006,158.520004,160.850006,160.771118,40326000
2022-12-21,161.139999,166.270004,161.020004,165.009995,164.929062,32502500
2022-12-22,160.940002,161.380005,148.820007,153.389999,153.314774,56504500
2022-12-23,151.960007,153.389999,148.830002,152.059998,151.985428,34932600
2022-12-27,150.740005,151.000000,140.559998,141.210007,141.140762,46490200
2022-12-28,139.270004,142.619995,138.839996,140.360001,140.291153,35106600
2022-12-29,144.020004,146.830002,142.270004,146.029999,145.958389,35492300
2022-12-30,143.339996,146.289993,142.330002,146.139999,146.068329,31049000
2023-01-03,148.509995,149.960007,140.960007,143.149994,143.079773,40127700
2023-01-04,145.669998,148.529999,142.410004,147.490005,147.417679,43132400
2023-01-05,144.910004,145.639999,141.479996,142.649994,142.580048,38916800
2023-01-06,144.740005,150.100006,140.339996,148.589996,148.517120,40504400
2023-01-09,152.839996,160.559998,151.410004,156.279999,156.203354,50423100
2023-01-10,155.070007,159.619995,154.720001,159.089996,159.011963,38410100
2023-01-11,158.399994,160.279999,155.630005,160.009995,159.931519,35328500
2023-01-12,161.000000,166.369995,154.919998,165.110001,165.029037,55140900
2023-01-13,162.779999,169.220001,161.649994,168.990005,168.907135,44728700
2023-01-17,168.990005,177.279999,168.990005,177.020004,176.933212,51110200
2023-01-18,176.669998,178.729996,172.820007,173.770004,173.684799,43962400
2023-01-19,170.360001,171.970001,167.309998,167.649994,167.567780,45293200
2023-01-20,170.110001,178.559998,168.250000,178.389999,178.302505,56496700
2023-01-23,180.639999,192.449997,178.179993,191.929993,191.835876,65516300
2023-01-24,188.270004,194.949997,188.199997,192.649994,192.555527,49620400
2023-01-25,189.130005,193.699997,185.800003,193.229996,193.135239,44953700
2023-01-26,197.009995,201.660004,192.779999,198.020004,197.922882,48953500
2023-01-27,194.619995,206.279999,194.050003,203.649994,203.550125,54214200
2023-01-30,199.500000,201.399994,191.500000,191.619995,191.526031,48861100
2023-01-31,191.699997,196.869995,189.500000,195.369995,195.274185,49801700
2023-02-01,196.910004,211.919998,196.110001,209.429993,209.327286,66047700
2023-02-02,210.000000,219.490005,207.000000,217.089996,216.983536,56427600
2023-02-03,210.000000,217.449997,207.889999,211.000000,210.896530,42936600
2023-02-06,208.059998,215.699997,207.860001,210.889999,210.786591,45219700
2023-02-07,213.820007,222.589996,211.500000,221.729996,221.621262,66415000
